Model 1:,ind,varnameEND,sitenameEND,scaleEND,seedEND,notes,,All possible model 1:,varnameEND,siteEND,,,,,,All possible model 2:,varnameEND,siteEND,,,Model 2:,ind,varnameEND,sitenameEND,scale,seedEND,notes,,,,,New versions:,,Model 1:,ind,varnameEND,sitenameEND,seedEND,,,,All possible models:,varnameEND,siteEND,,,,,,Model 3:,ind,varnameEND,sitenameEND,seedEND
,1,1,1,2,2467,,,,1 = ET,1 = lae,,,,,,,4 = WUE_GPP,1 = lae,,,,1,4,1,2,2467,,,,,,,,,1,1,1,4563,,,,,1 = GPP,1 = lae,,,,,,,1,1,1,4563
,2,1,2,2,4723,,,,2 = GPP,2 = crk,no TEA,,,,,,5 = WUE_SIF,2 = crk,,,,2,5,1,2,4723,,,,,,,,,2,1,2,3044,,,,,2 = SIF_O2A,2 = crk,,,,,,,2,1,2,3044
,3,1,3,2,7792,,,,3 = SIF_O2A,3 = geb,,,,,,,,3 = geb,,,,3,4,2,2,7792,,,,,,,,,3,1,3,3194,,,,,,3 = geb,,,,,,,3,1,3,3194
,4,1,4,2,1486,,,,4 = T_DEPART,4 = lnf,no TEA,,,,,,,4 = lnf,,,,4,5,2,2,1486,,,,,,,,,4,1,4,4060,,,,,,4 = lnf,,,,,,,4,1,4,4060
,5,1,5,2,9879,,,,5 = T_TEA,5 = yat,,,,,,,,5 = yat,,,,5,4,3,2,9879,,,,,,,,,5,1,5,7236,,,,,,5 = yat,,,,,,,5,1,5,7236
,6,1,6,2,2220,,,,6 = WUE_GPP_TEA,6 = jrs,no TEA,,,,,,,6 = jrs,,,,6,5,3,2,7265,,,,,,,,,6,1,6,2888,,,,,,6 = majg,,,,,,,6,1,6,2888
,7,1,7,2,3901,,,,7 = WUE_SIF_TEA,7 = sq,"no TEA, no DEPART for 2 years",,,,,,,7 = sq,no TS for 2017-2018,,,7,4,4,2,4563,,,,,,,,,7,2,1,9707,,,,,,,,,,,,,7,2,1,9707
,8,1,8,2,2760,,,,,8 = majg,,,,,,,,8 = majg,,,,8,5,4,2,3044,,,,,,,,,8,2,2,2164,,,,,,,,,,,,,8,2,2,2164
,9,1,9,2,7265,,,,,9=magt,,,,,,,,9=magt,,,,9,4,5,2,3194,inf,,,,,,,,9,2,3,8778,,,,,,,,,,,,,9,2,3,8778
,10,2,1,2,4563,,,,,,,,,,,,"1-10,15-16",,,,,10,5,5,2,4060,inf,,,,,,,,10,2,4,9018,,,,,,,,,,,,,10,2,4,9018
,11,2,2,2,3044,,,,"1-37,39,41,44-46,48,50,53-55,57,59,62-63",,,,,,,,,,,,,11,4,6,2,4135,,,no,,,,,,11,2,5,1020,,,,,,,,,,,,,11,2,5,1020
,12,2,3,2,3194,,,,,,,,,,,,,,,,,12,5,6,2,1116,,,no,,,,,,12,2,6,8347,,,,,,,,,,,,,12,2,6,8347
,13,2,4,2,4060,,,,,,,,,,,,,,,,,13,4,7,2,1486,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,14,2,5,2,7236,,,,"28-32,35-36",,,,,,,,,,,,,14,5,7,2,9879,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
,15,2,6,2,2888,,,,,,,,,,,,,,,,,15,4,8,2,2220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,2,7,2,2514,,,,,,,,,,,,,,,,,16,5,8,2,3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,2,8,2,4135,,,,10 through 27,,,,,,,,,,,,,17,4,9,2,2220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,2,9,2,1116,,,,,,,,,,,,,,,,,18,5,9,2,3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,3,1,2,9707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,3,2,2,2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,3,3,2,8778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,3,4,2,9018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,3,5,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,3,6,2,8347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,3,7,2,8662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,3,8,2,8849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,3,9,2,7539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,4,1,2,7656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,4,2,2,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,4,3,2,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,4,4,2,7618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,4,5,2,1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,4,6,2,7635,not yet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,4,7,2,674,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,4,8,2,7432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,4,9,2,4341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,5,1,2,8662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,5,2,2,5068,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,5,3,2,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,5,4,2,3860,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,5,5,2,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,5,6,2,4060,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,5,7,2,8778,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,5,8,2,9879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,5,9,2,2477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,6,1,2,3860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,6,2,2,7635,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,6,3,2,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,6,4,2,7432,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,6,5,2,4341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,6,6,2,8662,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,6,7,2,5068,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,6,8,2,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,6,9,2,3860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,7,1,2,7432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,7,2,2,4341,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,7,3,2,8662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,7,4,2,5068,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,7,5,2,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,7,6,2,3860,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,7,7,2,7635,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,7,8,2,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,7,9,2,7432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
