"","ID","param","mean","pc2.5","pc97.5","overlap0","gel"
"beta0",1,"beta0",19.9198692442784,18.0046586867471,21.8572137058926,FALSE,1.00000770665757
"beta11",1,"beta1",3.71125641218698,2.09386442088495,5.30163334422504,FALSE,0.999909405155886
"beta12",2,"beta1",3.38096709997269,1.14506516611761,5.34250886536685,FALSE,0.999957834350807
"beta13",3,"beta1",0.28302521532838,-0.165343961932785,0.732278139571519,TRUE,1.000305194371
"beta14",4,"beta1",3.88910560526558,2.38906495579863,5.39949620388801,FALSE,1.00070420394914
"beta15",5,"beta1",9.02275188372933,5.4546965166351,12.6041017045628,FALSE,1.00005731060183
"beta1a1",1,"beta1a",0.705670918296269,-0.593351680115017,1.8638639021251,TRUE,1.00004866317272
"beta1a2",2,"beta1a",-2.84806640206472,-4.31483957218318,-1.57135294362022,FALSE,1.00013484626628
"beta21",1,"beta2",-2.12042678215772,-4.96212432151951,1.13385206409411,TRUE,1.00002445884541
"beta22",2,"beta2",1.39991984946105,-0.1689548249637,3.0259299133541,TRUE,1.00034071534541
"beta23",3,"beta2",1.47143804583247,-0.868749407201279,3.79330648380293,TRUE,0.99997696700217
"beta24",4,"beta2",2.91006037558461,1.65749998570326,4.13824209271258,FALSE,1.00007242118327
"beta25",5,"beta2",-8.19322211668235,-12.3524160247755,-3.94540573147631,FALSE,0.999898635257358
"beta26",6,"beta2",0.925768717731897,-1.22151910788145,3.06249809048121,TRUE,1.00020822806325
"dYdX1",1,"dYdX",NA,NA,NA,NA,NA
"dYdX2",2,"dYdX",NA,NA,NA,NA,NA
"dYdX3",3,"dYdX",NA,NA,NA,NA,NA
"dYdX4",4,"dYdX",NA,NA,NA,NA,NA
"dYdX5",5,"dYdX",NA,NA,NA,NA,NA
"dYdX6",6,"dYdX",NA,NA,NA,NA,NA
"dYdX7",7,"dYdX",NA,NA,NA,NA,NA
"dYdX8",8,"dYdX",NA,NA,NA,NA,NA
"dYdX9",9,"dYdX",NA,NA,NA,NA,NA
"dYdX10",10,"dYdX",NA,NA,NA,NA,NA
"dYdX11",11,"dYdX",7.48657512932443,1.95601736215008,12.5099232316759,FALSE,0.99991672109346
"dYdX12",12,"dYdX",7.3511723602638,2.09063888809153,12.164953245158,FALSE,0.999924709576429
"dYdX13",13,"dYdX",7.34612603169925,2.16619210627213,12.1335168732706,FALSE,0.999929155394079
"dYdX14",14,"dYdX",7.30387221078623,2.22889761403308,12.0081501522573,FALSE,0.999931568201848
"dYdX15",15,"dYdX",7.23942876803646,2.2849376954306,11.8533054482159,FALSE,0.999930743891534
"dYdX16",16,"dYdX",7.03115634879386,2.41067975282259,11.3337003382693,FALSE,0.999922745006055
"dYdX17",17,"dYdX",6.93557281892746,2.49632695886793,11.0587923440965,FALSE,0.999924101231387
"dYdX18",18,"dYdX",7.03425704891251,2.54231928505806,11.2394428386214,FALSE,0.999933041313554
"dYdX19",19,"dYdX",7.05835183293801,2.55001506270632,11.2726473782474,FALSE,0.999931950516831
"dYdX20",20,"dYdX",6.99587701884957,2.59174087303159,11.1127451554269,FALSE,0.999927402445006
"dYdX21",21,"dYdX",6.84182478835015,2.66923624758623,10.7285759255481,FALSE,0.999921423525934
"dYdX22",22,"dYdX",6.92097182560862,2.67342025164616,10.8990725587177,FALSE,0.999934450292371
"dYdX23",23,"dYdX",6.92883030380255,2.67875703444388,10.9190919300477,FALSE,0.999929906205645
"dYdX24",24,"dYdX",6.9902864478976,2.66801068798194,11.0649814106998,FALSE,0.999935539124596
"dYdX25",25,"dYdX",7.01339654388437,2.63790089288801,11.1327274361011,FALSE,0.999934247945061
"dYdX26",26,"dYdX",7.02801975038059,2.60650671897176,11.182165607158,FALSE,0.999935543132799
"dYdX27",27,"dYdX",7.66712578714045,1.93519132565371,13.0096385717589,FALSE,0.999942027944959
"dYdX28",28,"dYdX",7.59234447910988,1.9762375038068,12.819274239595,FALSE,0.999939493774219
"dYdX29",29,"dYdX",7.53576362742569,2.00825584238357,12.6871910587557,FALSE,0.99993805265043
"dYdX30",30,"dYdX",7.48321630773479,2.02645660981793,12.5576475234254,FALSE,0.999936304988072
"dYdX31",31,"dYdX",7.53294086417197,2.03530702868282,12.6567921221018,FALSE,0.999940244393129
"dYdX32",32,"dYdX",7.56652277029044,2.03702800453025,12.7240616274113,FALSE,0.999942208101236
"dYdX33",33,"dYdX",7.53280099795585,2.07018648996812,12.6364223180278,FALSE,0.999940991939997
"dYdX34",34,"dYdX",7.53048077369622,2.11537754790526,12.6289682857121,FALSE,0.999944132112415
"dYdX35",35,"dYdX",7.52339692340358,2.10966403618619,12.6062310044932,FALSE,0.999940749430592
"dYdX36",36,"dYdX",7.58642903471601,2.09720588493209,12.7568394246999,FALSE,0.999945255171521
"dYdX37",37,"dYdX",7.49212631479349,2.09958368045234,12.5262877301689,FALSE,0.999934907249771
"dYdX38",38,"dYdX",7.46135031829765,2.11702111514766,12.4550397561723,FALSE,0.999938357196174
"dYdX39",39,"dYdX",7.40146876887201,2.15936817882552,12.2976612571101,FALSE,0.99993452693697
"dYdX40",40,"dYdX",7.47328578632603,2.14358520718026,12.4693697270691,FALSE,0.999941243943996
"dYdX41",41,"dYdX",7.498672114799,2.13495906655652,12.5385217774544,FALSE,0.999941308894218
"dYdX42",42,"dYdX",7.42526113001857,2.16534674954568,12.353517463341,FALSE,0.999935454223497
"dYdX43",43,"dYdX",7.57668306158755,2.15507167524196,12.7421106723254,FALSE,0.999949662570675
"dYdX44",44,"dYdX",7.71662980380851,2.11114324126362,13.0667106935794,FALSE,0.999948246336026
"dYdX45",45,"dYdX",7.85426089770304,1.73074668993184,13.5369997431048,FALSE,0.999941063385253
"dYdX46",46,"dYdX",7.79689876572171,1.76788976009994,13.3833016977772,FALSE,0.999941127138699
"dYdX47",47,"dYdX",7.69701755249877,1.80806697962226,13.1714159994721,FALSE,0.99993844946612
"dYdX48",48,"dYdX",7.59488909605352,1.85062859441337,12.9248208251569,FALSE,0.999937460191606
"dYdX49",49,"dYdX",7.6222703108363,1.89573536635719,12.9876654433125,FALSE,0.999944188358481
"dYdX50",50,"dYdX",7.68782632652594,1.90499085108499,13.1164882146563,FALSE,0.999945914770579
"dYdX51",51,"dYdX",7.65660093301075,1.93760281998865,13.022858065922,FALSE,0.999939354083183
"dYdX52",52,"dYdX",7.67603783300307,1.95093750635176,13.016878671066,FALSE,0.999939909647576
"dYdX53",53,"dYdX",7.65546957523311,1.96645541518925,12.9590031499462,FALSE,0.999940195931525
"dYdX54",54,"dYdX",7.64549193150461,1.97412392549157,12.9373196671317,FALSE,0.999939678362571
"dYdX55",55,"dYdX",7.55314253413892,2.01772045916137,12.718282641639,FALSE,0.999935271546818
"dYdX56",56,"dYdX",7.46968540361832,2.03854739136142,12.5300440602869,FALSE,0.999932609598521
"dYdX57",57,"dYdX",7.46123463917067,2.07402253043086,12.4998044424075,FALSE,0.999936433257791
"dYdX58",58,"dYdX",7.38630926892457,2.12872276031986,12.3301605312417,FALSE,0.99993273379524
"dYdX59",59,"dYdX",7.36013400264372,2.14424208809748,12.2616913945522,FALSE,0.999933307055619
"dYdX60",60,"dYdX",7.10130663155426,2.25514369897882,11.6277873252315,FALSE,0.999922673929127
"dYdX61",61,"dYdX",7.17837073153982,2.25341318272904,11.8046107584522,FALSE,0.999933223520689
"dYdX62",62,"dYdX",7.13940767748535,2.27474557943835,11.7096281419836,FALSE,0.999930601803589
"dYdX63",63,"dYdX",8.30087630995406,1.36108738630622,14.747897663247,FALSE,0.999949853602859
"dYdX64",64,"dYdX",7.96895915063424,1.49789380008219,13.9444885889692,FALSE,0.999940037684467
"dYdX65",65,"dYdX",7.75275899627621,1.61686039571429,13.4112732995625,FALSE,0.999936664058715
"dYdX66",66,"dYdX",7.59608522738297,1.7187730287167,13.0165016734043,FALSE,0.999935318347478
"dYdX67",67,"dYdX",7.47747009889155,1.78446841915123,12.7201264823398,FALSE,0.999933713259646
"dYdX68",68,"dYdX",7.45724723769711,1.86728925129397,12.6748178839905,FALSE,0.999941026302893
"dYdX69",69,"dYdX",7.44909725772214,1.90848199310868,12.6472653049718,FALSE,0.999942089968478
"dYdX70",70,"dYdX",7.39296107791405,1.96437190017581,12.5143063419909,FALSE,0.999939624603121
"dYdX71",71,"dYdX",7.32208389070348,1.9771758920205,12.3292367581383,FALSE,0.99993646618587
"dYdX72",72,"dYdX",7.3063839842023,2.00268730827676,12.2871006946207,FALSE,0.999939443813269
"dYdX73",73,"dYdX",7.290490197516,2.01668335443464,12.2446563516249,FALSE,0.999937773717105
"dYdX74",74,"dYdX",7.24586587275195,2.06246523343592,12.1281360670189,FALSE,0.999938316875631
"dYdX75",75,"dYdX",7.15271823423655,2.11397771103099,11.8903639893103,FALSE,0.999934590308196
"dYdX76",76,"dYdX",7.09163542640903,2.15284019712316,11.7284970171026,FALSE,0.999933656271675
"dYdX77",77,"dYdX",7.06583807729797,2.16411127686168,11.6653451994033,FALSE,0.999934013187794
"dYdX78",78,"dYdX",7.02659710640802,2.18554215963212,11.5681302348253,FALSE,0.999932484431072
"dYdX79",79,"dYdX",7.01396802275123,2.20096384211919,11.5374245831568,FALSE,0.99993447483285
"dYdX80",80,"dYdX",6.87662754771043,2.27075457767475,11.2003884469517,FALSE,0.999929661141382
"dYdX81",81,"dYdX",7.57764237426159,1.78283413890181,12.9789535523561,FALSE,0.999934209339209
"dYdX82",82,"dYdX",7.22282939452472,1.9180379646192,12.1167147545903,FALSE,0.999919547505467
"dYdX83",83,"dYdX",6.66320599446574,2.14216308724419,10.7640903898085,FALSE,0.999895926709014
"dYdX84",84,"dYdX",6.47418310295778,2.27119627864203,10.286200061299,FALSE,0.999900109958895
"dYdX85",85,"dYdX",6.23945387342766,2.4641296787934,9.68684708031989,FALSE,0.999897916384933
"dYdX86",86,"dYdX",6.18324733372868,2.56748108778886,9.49025568769982,FALSE,0.999902391821841
"dYdX87",87,"dYdX",6.0895436901541,2.65314096579506,9.24305054992941,FALSE,0.999905711125873
"dYdX88",88,"dYdX",5.9400585455273,2.77936432893052,8.89618325880373,FALSE,0.999910195297057
"dYdX89",89,"dYdX",5.83344133568173,2.85249035203121,8.61230561785807,FALSE,0.999916637619717
"dYdX90",90,"dYdX",5.75345227531472,2.90353282846623,8.43430985633756,FALSE,0.999921227234595
"dYdX91",91,"dYdX",5.71069198363643,2.95416585592407,8.33369945729666,FALSE,0.999927954200606
"dYdX92",92,"dYdX",5.70849097595925,2.99364854567651,8.30013615901409,FALSE,0.9999379991496
"dYdX93",93,"dYdX",5.65378924617837,3.01546862446529,8.15235650281148,FALSE,0.999948591766807
"dYdX94",94,"dYdX",5.59540157850309,3.07103795610901,8.01196216772846,FALSE,0.999960969635878
"dYdX95",95,"dYdX",5.61292756650138,3.09594935997857,8.04495005797002,FALSE,0.999968752265048
"dYdX96",96,"dYdX",5.5357226131294,3.1263342898157,7.87730237671918,FALSE,0.999977215501665
"dYdX97",97,"dYdX",5.46521584578947,3.13873816489625,7.72400621177694,FALSE,0.999986038280649
"dYdX98",98,"dYdX",5.48043701206551,3.13415947633544,7.76764989820769,FALSE,0.999987783923015
"dYdX99",99,"dYdX",7.5156100518492,1.85147465085235,12.7812011141902,FALSE,0.999931737189107
"dYdX100",100,"dYdX",7.03700929447881,2.02210440746881,11.6266901748698,FALSE,0.99990855191691
"dYdX101",101,"dYdX",6.87248821069542,2.13503400994949,11.1991993513734,FALSE,0.999915360110617
