"","ID","param","mean","pc2.5","pc97.5","overlap0","gel"
"beta0",1,"beta0",0.259328474225597,0.22845461112401,0.290126680259619,FALSE,1.00012726239616
"beta11",1,"beta1",0.134335533016823,0.112404511223928,0.156686675710213,FALSE,1.00010763222638
"beta12",2,"beta1",-0.0434022635833303,-0.0701140480523493,-0.016626036005261,FALSE,1.00018780127508
"beta13",3,"beta1",-0.0181743538142397,-0.0254280378600553,-0.0107129664509854,FALSE,1.0004198640507
"beta14",4,"beta1",-0.078410057055883,-0.10428215097061,-0.052825622486141,FALSE,1.00024047910439
"beta15",5,"beta1",0.169200170789838,0.11852082998224,0.220687124096449,FALSE,1.00004275470477
"beta1a1",1,"beta1a",0.00458586385866558,-0.0082832906110212,0.0178196485922089,TRUE,0.999944765491204
"beta1a2",2,"beta1a",-0.0486341942326355,-0.0640332663870552,-0.0335085665842481,FALSE,0.999842387472794
"beta21",1,"beta2",-0.0271694643052734,-0.0570076667027069,0.00209630341981455,TRUE,0.999892500781635
"beta22",2,"beta2",0.0297435313454802,0.00943352359934282,0.0507380837934235,FALSE,1.00018391902414
"beta23",3,"beta2",0.0514002159590115,0.0221870246829206,0.0808063405659745,FALSE,1.00066034045178
"beta24",4,"beta2",-0.0159444524178153,-0.0323798401511171,0.00110827746663148,TRUE,1.00009143759844
"beta25",5,"beta2",-0.119957526645288,-0.168456172459864,-0.0718674487860679,FALSE,1.00043725927736
"beta26",6,"beta2",0.0731283351107249,0.0353948998931749,0.110839897564701,FALSE,1.00025049964823
"dYdX1",1,"dYdX",NA,NA,NA,NA,NA
"dYdX2",2,"dYdX",NA,NA,NA,NA,NA
"dYdX3",3,"dYdX",NA,NA,NA,NA,NA
"dYdX4",4,"dYdX",NA,NA,NA,NA,NA
"dYdX5",5,"dYdX",NA,NA,NA,NA,NA
"dYdX6",6,"dYdX",NA,NA,NA,NA,NA
"dYdX7",7,"dYdX",NA,NA,NA,NA,NA
"dYdX8",8,"dYdX",NA,NA,NA,NA,NA
"dYdX9",9,"dYdX",NA,NA,NA,NA,NA
"dYdX10",10,"dYdX",NA,NA,NA,NA,NA
"dYdX11",11,"dYdX",0.216074067126866,0.153233365828135,0.279891947287846,FALSE,0.999982434338245
"dYdX12",12,"dYdX",0.215321168449642,0.15275505725927,0.278689955386897,FALSE,0.999984248412468
"dYdX13",13,"dYdX",0.214639137483848,0.15284056549958,0.277553169750299,FALSE,0.999987845694066
"dYdX14",14,"dYdX",0.209937037892869,0.15332922924531,0.267324087352191,FALSE,0.999996458205216
"dYdX15",15,"dYdX",0.205865045654644,0.153928561739278,0.258598105154686,FALSE,1.00000529238318
"dYdX16",16,"dYdX",0.20018574187529,0.154655320610826,0.246429887165418,FALSE,1.0000190076138
"dYdX17",17,"dYdX",0.198164649675511,0.155245353322939,0.242121508937399,FALSE,1.00002436601438
"dYdX18",18,"dYdX",0.197931675540733,0.155619515087884,0.241185119252269,FALSE,1.00002530039054
"dYdX19",19,"dYdX",0.197270880193698,0.156027368397466,0.239604564826804,FALSE,1.00002742952225
"dYdX20",20,"dYdX",0.196503734979903,0.156331471478028,0.237767911899878,FALSE,1.00003066130165
"dYdX21",21,"dYdX",0.19401697861569,0.156524345977433,0.232337202997289,FALSE,1.00004170498313
"dYdX22",22,"dYdX",0.192855886986085,0.15721108223925,0.229548348619588,FALSE,1.00005100545213
"dYdX23",23,"dYdX",0.194211163106529,0.157660968057054,0.23174179714152,FALSE,1.00005115687301
"dYdX24",24,"dYdX",0.194115783483734,0.157702995591113,0.231492836827739,FALSE,1.00005069011014
"dYdX25",25,"dYdX",0.192706926669017,0.157681433274742,0.228744743633813,FALSE,1.00005634000574
"dYdX26",26,"dYdX",0.190476902078174,0.15747933162304,0.224786044602959,FALSE,1.0000663778064
"dYdX27",27,"dYdX",0.202114566305855,0.154063922359573,0.250738232655492,FALSE,1.00000929722877
"dYdX28",28,"dYdX",0.201826218182253,0.154055200366254,0.250169235354926,FALSE,1.00000955611559
"dYdX29",29,"dYdX",0.20204710726102,0.153984057885355,0.250645205616447,FALSE,1.00000879070788
"dYdX30",30,"dYdX",0.202447914938873,0.153802127210633,0.251810532126069,FALSE,1.00000768763036
"dYdX31",31,"dYdX",0.202975469741485,0.153559194023663,0.25321944524201,FALSE,1.00000589526015
"dYdX32",32,"dYdX",0.202739794941615,0.153524505217048,0.252869863798203,FALSE,1.00000644285949
"dYdX33",33,"dYdX",0.201811446226264,0.153614785911153,0.25060503882541,FALSE,1.00000913462253
"dYdX34",34,"dYdX",0.20037826997829,0.154366579649861,0.247016674172665,FALSE,1.00001375967079
"dYdX35",35,"dYdX",0.19927235730878,0.154430631384028,0.244557906439329,FALSE,1.00001669579229
"dYdX36",36,"dYdX",0.198870610245702,0.154776473623121,0.243427265299181,FALSE,1.00001698331517
"dYdX37",37,"dYdX",0.199092549087258,0.154638542168374,0.244092486762102,FALSE,1.00001652528148
"dYdX38",38,"dYdX",0.198972806092363,0.154687465240698,0.24379027069393,FALSE,1.00001651448953
"dYdX39",39,"dYdX",0.200016057492168,0.154738793552501,0.245849479901269,FALSE,1.00001458654175
"dYdX40",40,"dYdX",0.199908889988246,0.154469887689802,0.246043046131334,FALSE,1.00001330759923
"dYdX41",41,"dYdX",0.200915237368461,0.154973453396805,0.247449694012452,FALSE,1.00001224186376
"dYdX42",42,"dYdX",0.199198323663682,0.154826957003883,0.243984125129317,FALSE,1.00001520934881
"dYdX43",43,"dYdX",0.198080669459431,0.155642244521921,0.241016891536118,FALSE,1.00001742943511
"dYdX44",44,"dYdX",0.197157191594809,0.15582181017223,0.239103927226627,FALSE,1.00002017964589
"dYdX45",45,"dYdX",0.207345423749364,0.152852008386769,0.262488437817525,FALSE,0.999992447936821
"dYdX46",46,"dYdX",0.207333150557173,0.152716329637145,0.262739651468527,FALSE,0.999992392077049
"dYdX47",47,"dYdX",0.207154736165534,0.152761553371366,0.262659233436603,FALSE,0.99999293311959
"dYdX48",48,"dYdX",0.207144713773328,0.1527780469763,0.262401575700241,FALSE,0.99999364240854
"dYdX49",49,"dYdX",0.20536674584011,0.153235294201262,0.258159486137139,FALSE,0.999997454850031
"dYdX50",50,"dYdX",0.203536605254307,0.153558625418756,0.253737617104971,FALSE,1.00000123657274
"dYdX51",51,"dYdX",0.202737190452744,0.153842651075764,0.252110649641674,FALSE,1.00000123459147
"dYdX52",52,"dYdX",0.201628635248823,0.153567927593719,0.250247554462257,FALSE,0.99999980419301
"dYdX53",53,"dYdX",0.200406165228714,0.153781133826462,0.247584980655914,FALSE,1.00000038328449
"dYdX54",54,"dYdX",0.202178110023174,0.154060820068407,0.250760550724682,FALSE,1.00000014344613
"dYdX55",55,"dYdX",0.203745266610934,0.154414692826466,0.253533789438106,FALSE,0.999998656036205
"dYdX56",56,"dYdX",0.203159136794551,0.154294603976341,0.252483081033031,FALSE,1.0000009178056
"dYdX57",57,"dYdX",0.202389435472019,0.154517552664335,0.250915680229518,FALSE,1.00000347015038
"dYdX58",58,"dYdX",0.20196451402318,0.154515187030758,0.250087203129466,FALSE,1.00000487511595
"dYdX59",59,"dYdX",0.201956180801581,0.154212409838001,0.250179155084064,FALSE,1.00000438354692
"dYdX60",60,"dYdX",0.200243070667716,0.154698375561539,0.246285403491713,FALSE,1.00000782553127
"dYdX61",61,"dYdX",0.199381197312286,0.154312365586742,0.244942412421445,FALSE,1.00000902566618
"dYdX62",62,"dYdX",0.199560370125456,0.154486380594874,0.245106574311645,FALSE,1.00001075148081
"dYdX63",63,"dYdX",0.205636187806,0.149982360054009,0.262069126815462,FALSE,0.999987379128333
"dYdX64",64,"dYdX",0.206183740789367,0.150141910402833,0.262809325057669,FALSE,0.999984529028011
"dYdX65",65,"dYdX",0.208423211650304,0.149821781150451,0.267668868114112,FALSE,0.999980817477199
"dYdX66",66,"dYdX",0.209055626825839,0.150016771944013,0.268998756642425,FALSE,0.999980746322789
"dYdX67",67,"dYdX",0.211097948340734,0.14972596952609,0.272943681925727,FALSE,0.999979993325834
"dYdX68",68,"dYdX",0.208163411540005,0.150641942121449,0.26630556507822,FALSE,0.999985199154154
"dYdX69",69,"dYdX",0.203548644830203,0.151307352413251,0.256340887212427,FALSE,0.999993793509917
"dYdX70",70,"dYdX",0.200220695093629,0.151706599592665,0.249147218625498,FALSE,1.00000027897765
"dYdX71",71,"dYdX",0.198528488030699,0.151735465467449,0.245791240621137,FALSE,1.00000367025316
"dYdX72",72,"dYdX",0.196671568740343,0.152011165438831,0.242052934482779,FALSE,1.00000712657056
"dYdX73",73,"dYdX",0.197469851348571,0.151832878968315,0.243757499596002,FALSE,1.00000655435464
"dYdX74",74,"dYdX",0.19797448488221,0.152186279928005,0.244472566437823,FALSE,1.00000579983147
"dYdX75",75,"dYdX",0.197010463034413,0.152509297722436,0.242083118121759,FALSE,1.00000739512831
"dYdX76",76,"dYdX",0.195606585376437,0.152554137008614,0.23913585655337,FALSE,1.00000921202753
"dYdX77",77,"dYdX",0.195453205743241,0.152845265339665,0.238550787487182,FALSE,1.00000992459131
"dYdX78",78,"dYdX",0.194845744438053,0.153119353248412,0.237075979811912,FALSE,1.00001209694866
"dYdX79",79,"dYdX",0.194595178877209,0.153420518347524,0.236372128470652,FALSE,1.00001330774096
"dYdX80",80,"dYdX",0.193340797851436,0.153901955570045,0.233433367866063,FALSE,1.0000148416781
"dYdX81",81,"dYdX",0.201392684447616,0.15213197402931,0.250776805460866,FALSE,0.999988517026609
"dYdX82",82,"dYdX",0.202780174384241,0.152149105728798,0.253521914980155,FALSE,0.999987306331693
"dYdX83",83,"dYdX",0.203849529013245,0.152145331275387,0.255463687810231,FALSE,0.999986264205574
"dYdX84",84,"dYdX",0.204302691093818,0.151485691716014,0.256989690794002,FALSE,0.999985048978067
"dYdX85",85,"dYdX",0.203365632559325,0.152517411245856,0.254290507730138,FALSE,0.99998827057729
"dYdX86",86,"dYdX",0.202645428561323,0.152012964329183,0.253490182667169,FALSE,0.999990644813612
"dYdX87",87,"dYdX",0.199454639712338,0.151673552077925,0.247728184989435,FALSE,0.99999665957593
"dYdX88",88,"dYdX",0.192138262085867,0.152047837199519,0.232573391760072,FALSE,1.00001210312596
"dYdX89",89,"dYdX",0.190120076073219,0.151952690991099,0.228695161094575,FALSE,1.00002216865682
"dYdX90",90,"dYdX",0.18935318936041,0.151643234158341,0.227578227822304,FALSE,1.00002815027625
"dYdX91",91,"dYdX",0.187239383333073,0.151426805701743,0.223802606127763,FALSE,1.00003956552488
"dYdX92",92,"dYdX",0.184410732223282,0.151353783641521,0.218577284809622,FALSE,1.0000544096126
"dYdX93",93,"dYdX",0.18159712700129,0.15109399105647,0.212978848757394,FALSE,1.00007186847489
"dYdX94",94,"dYdX",0.178172160481908,0.150608974450178,0.206263637487397,FALSE,1.00009054264891
"dYdX95",95,"dYdX",0.175418730139542,0.150108973455813,0.201295523465631,FALSE,1.00010593222586
"dYdX96",96,"dYdX",0.173313480878295,0.149544862537564,0.197120638092826,FALSE,1.00012173152152
"dYdX97",97,"dYdX",0.172398440817084,0.149348178570875,0.195465692527273,FALSE,1.00012997618803
"dYdX98",98,"dYdX",0.171745018846189,0.149067892094889,0.19455028573887,FALSE,1.00013627724185
